scenario_id,label,family,U,n
s26,FEMA $750,Hostile smears,4.6,90
s20,Biolabs,Geopolitics & war disinfo,4.461,89
s24,Jewell,Hostile smears,4.311,90
s10,Guns,Domestic politics & society,4.222,90
s17,Vaccines,Domestic politics & society,4.167,90
s15,Election,Domestic politics & society,4.011,90
s7,Border,Domestic politics & society,3.967,90
s18,Crypto,Economy & markets,3.822,90
s25,Swift AI,Hostile smears,3.811,90
s8,Crime,Domestic politics & society,3.7,90
s21,Refugees,Geopolitics & war disinfo,3.611,90
s19,Arms market,Geopolitics & war disinfo,3.556,90
s23,Gates chip,Hostile smears,3.4,90
s1,Climate,Domestic politics & society,3.333,90
s16,AI stocks,Economy & markets,3.2,90
s4,Deficit,Economy & markets,3.133,90
s22,P&G Satanism,Hostile smears,3.089,90
s6,Tariffs,Economy & markets,2.989,90
s2,Jobs,Economy & markets,2.922,90
s9,Insurance,Domestic politics & society,2.722,90
s12,Ukraine aid,Geopolitics & war disinfo,2.722,90
s11,Oil,Domestic politics & society,2.444,90
s13,College,Domestic politics & society,2.3,90
s14,Foreign aid,Geopolitics & war disinfo,2.3,90
s3,Inflation,Economy & markets,2.278,90
s5,Housing,Economy & markets,1.878,90
